Epoch,IoU,F1,Fbeta,Precision,Recall,Accuracy,Training_loss,Validation_loss,Train_Jaccard_Loss,Train_Tversky_Loss,Train_Focal_Loss,Train_Lovasz_Loss,Eval_Jaccard_Loss,Eval_Tversky_Loss,Eval_Focal_Loss,Eval_Lovasz_Loss
0,0.2855607867240906,0.4523886740207672,0.3976522386074066,0.28874459862709045,0.972905695438385,0.41543999314308167,0.46311045438051224,0.4865601062774658,0.6200795248150826,0.46311045438051224,0.3031272403895855,1.2216466963291168,0.6223598718643188,0.4710686057806015,0.2261308655142784,0.9766177833080292
1,0.0,0.0,0.0,0.0,0.0,0.7411627173423767,0.3513897620141506,0.45315635204315186,0.5028091594576836,0.3513897620141506,0.18979192711412907,0.8287929892539978,0.6120457649230957,0.4628031402826309,0.2198728621006012,0.9378252029418945
2,0.01785714365541935,0.0,0.01785714365541935,0.133928582072258,0.0,0.7459213137626648,0.29678282141685486,0.45327727496623993,0.4398466497659683,0.29678282141685486,0.1669000405818224,0.6650377288460732,0.6069627106189728,0.4599265307188034,0.20760462433099747,0.8991471529006958
3,0.0357142873108387,0.0,0.0357142873108387,0.9955357313156128,0.0,0.7513437867164612,0.2559765428304672,0.4676037132740021,0.3920259289443493,0.2559765428304672,0.16862164344638586,0.5915615744888783,0.606555163860321,0.4604005366563797,0.19703957438468933,0.8777509033679962
4,0.0446428582072258,0.0,0.0446428582072258,0.9955357313156128,0.0,0.750942051410675,0.21215246990323067,0.4869458079338074,0.33743535727262497,0.21215246990323067,0.15748527459800243,0.5219731219112873,0.6066333055496216,0.46109509468078613,0.19128908216953278,0.863616555929184
5,0.0357142873108387,0.0,0.0357142873108387,1.0,0.0,0.7511199116706848,0.17768190428614616,0.5035466253757477,0.2918443866074085,0.17768190428614616,0.14750108495354652,0.4698781482875347,0.606855720281601,0.4617658704519272,0.1879892349243164,0.8548246920108795
6,0.0625,0.0,0.0625,1.0,0.0,0.7509620189666748,0.1598246991634369,0.507643848657608,0.2683750167489052,0.1598246991634369,0.13248424511402845,0.4326024800539017,0.6069791615009308,0.4619443714618683,0.18754347413778305,0.8539727032184601
7,0.0357142873108387,0.0,0.0357142873108387,1.0,0.0,0.7512280344963074,0.15608752146363258,0.512336790561676,0.2627306915819645,0.15608752146363258,0.1352477166801691,0.43382612243294716,0.60710608959198,0.4622340202331543,0.1873684674501419,0.8530173301696777
8,0.0535714328289032,0.0,0.0535714328289032,1.0,0.0,0.7509620189666748,0.15395458042621613,0.5148268043994904,0.2603772059082985,0.15395458042621613,0.1478620721027255,0.46382108703255653,0.6070958971977234,0.46224382519721985,0.18722718954086304,0.8524374663829803
9,0.0535714328289032,0.0,0.0535714328289032,1.0,0.0,0.7509620189666748,0.14456948265433311,0.5143163800239563,0.2458183728158474,0.14456948265433311,0.12077712640166283,0.38588105514645576,0.607027679681778,0.46215617656707764,0.18697508424520493,0.8520048260688782
10,0.0357142873108387,0.0,0.0357142873108387,1.0,0.0,0.7513353228569031,0.14237679913640022,0.5147973299026489,0.24283044785261154,0.14237679913640022,0.11183064989745617,0.36614061146974564,0.6070390343666077,0.46224822103977203,0.1869306042790413,0.8516507148742676
11,0.0491071455180645,0.0,0.0491071455180645,1.0,0.0,0.7509620189666748,0.14739153906702995,0.5168980360031128,0.25089213997125626,0.14739153906702995,0.13031960371881723,0.41861681640148163,0.6070411801338196,0.4622519016265869,0.18707215040922165,0.8515956699848175
12,0.0714285746216774,0.0,0.0714285746216774,1.0,0.0,0.7509620189666748,0.13914258033037186,0.5172891914844513,0.2384890615940094,0.13914258033037186,0.10906810592859983,0.3588208518922329,0.6070160865783691,0.4622424840927124,0.18704621493816376,0.8512961268424988
13,0.0357142873108387,0.0,0.0357142873108387,1.0,0.0,0.7510984539985657,0.13844626024365425,0.5172350406646729,0.2375272512435913,0.13844626024365425,0.10842746496200562,0.3564964197576046,0.6070416569709778,0.462285116314888,0.18702789396047592,0.8513952493667603
14,0.0357142873108387,0.0,0.0357142873108387,1.0,0.0,0.7513782382011414,0.14264969527721405,0.5180071890354156,0.2430834211409092,0.14264969527721405,0.1169567285105586,0.3772602528333664,0.6070556640625,0.4623706340789795,0.18697845190763474,0.8509908318519592
15,0.0491071455180645,0.0,0.0491071455180645,1.0,0.0,0.7509620189666748,0.14653290808200836,0.5186946094036102,0.2493002526462078,0.14653290808200836,0.12487504631280899,0.40481602400541306,0.6070520877838135,0.46231430768966675,0.18707311898469925,0.8512913286685944
16,0.0535714328289032,0.0,0.0535714328289032,1.0,0.0,0.7509620189666748,0.14510716125369072,0.5183825492858887,0.24738381057977676,0.14510716125369072,0.11849279329180717,0.391047827899456,0.6070468723773956,0.4623020887374878,0.18707729130983353,0.8513835668563843
17,0.0223214291036129,0.0,0.0223214291036129,1.0,0.0,0.7509620189666748,0.14654777571558952,0.5184806883335114,0.250026673078537,0.14654777571558952,0.13066811300814152,0.42207491397857666,0.6070286929607391,0.46229054033756256,0.18705685436725616,0.8512054979801178
18,0.0357142873108387,0.0,0.0357142873108387,1.0,0.0,0.7510985136032104,0.14158765599131584,0.5176106989383698,0.24248379841446877,0.14158765599131584,0.1175086498260498,0.3854098878800869,0.6069732308387756,0.4622422903776169,0.1869640126824379,0.8508966267108917
19,0.0223214291036129,0.0,0.0223214291036129,1.0,0.0,0.7510256171226501,0.14390793442726135,0.5169826447963715,0.24572045356035233,0.14390793442726135,0.12176444008946419,0.39640888199210167,0.6068603098392487,0.4621136784553528,0.18679767102003098,0.8503037095069885
20,0.0446428582072258,0.0,0.0446428582072258,1.0,0.0,0.7509620189666748,0.14028707891702652,0.5162378251552582,0.2402583844959736,0.14028707891702652,0.11825922504067421,0.38195134326815605,0.6067562401294708,0.46199168264865875,0.18668384850025177,0.8498395085334778
21,0.0491071455180645,0.0,0.0491071455180645,1.0,0.0,0.7509620189666748,0.1443600282073021,0.5137823820114136,0.24672597274184227,0.1443600282073021,0.12481538113206625,0.4074680730700493,0.6065512895584106,0.4617384374141693,0.1863458901643753,0.8490025997161865
22,0.0491071455180645,0.0,0.0491071455180645,1.0,0.0,0.7509620189666748,0.14123545587062836,0.5110398530960083,0.24147773906588554,0.14123545587062836,0.11321192793548107,0.3731023520231247,0.6062949895858765,0.46143554151058197,0.18596944212913513,0.8478186130523682
23,0.02428792230784893,0.007182727102190256,0.02618928998708725,1.0,0.003991816658526659,0.7518596053123474,0.1450665481388569,0.5043814182281494,0.24680082499980927,0.1450665481388569,0.12196874897927046,0.3943616971373558,0.6057559549808502,0.4607631415128708,0.1851194053888321,0.8455628752708435
24,0.05799109488725662,0.03185805305838585,0.06617151945829391,0.9998674392700195,0.01658249832689762,0.7549902200698853,0.14174818992614746,0.4954286515712738,0.2416723445057869,0.14174818992614746,0.11223714705556631,0.36661992222070694,0.6050566136837006,0.45987820625305176,0.1840474158525467,0.8427877426147461
25,0.06395911425352097,0.03705437853932381,0.07346929609775543,0.9998537302017212,0.019394604489207268,0.7556594014167786,0.14678407832980156,0.4938000738620758,0.24993475899100304,0.14678407832980156,0.13492984790354967,0.4304664134979248,0.6048503816127777,0.4596512019634247,0.18376106768846512,0.8416748642921448
26,0.04088715836405754,0.049664273858070374,0.0535220168530941,0.9998213052749634,0.02647671476006508,0.7573073506355286,0.14201204106211662,0.4891217052936554,0.24297745898365974,0.14201204106211662,0.12142015900462866,0.39399998635053635,0.6043939590454102,0.459113746881485,0.18306412547826767,0.839471161365509
27,0.038462843745946884,0.0858476310968399,0.059677332639694214,0.9997029900550842,0.046220049262046814,0.7621787190437317,0.1479608230292797,0.4785189777612686,0.2515766955912113,0.1479608230292797,0.12902808096259832,0.4165605343878269,0.6035091280937195,0.4580235928297043,0.18177638202905655,0.8357357978820801
28,0.11507077515125275,0.13047756254673004,0.14607590436935425,0.9995473623275757,0.0724354237318039,0.7683185935020447,0.14172521606087685,0.46362847089767456,0.24253956601023674,0.14172521606087685,0.11570571176707745,0.37954530864953995,0.602279931306839,0.4564695805311203,0.18003695458173752,0.8308284282684326
29,0.056642841547727585,0.142014741897583,0.09043942391872406,0.9995452761650085,0.07892926037311554,0.7701345682144165,0.14338532835245132,0.46064986288547516,0.24500485509634018,0.14338532835245132,0.11991190817207098,0.39175352454185486,0.6020218729972839,0.4561803936958313,0.17967849969863892,0.8295462429523468
30,0.10780835896730423,0.1617557555437088,0.14560070633888245,0.9993365406990051,0.09115222096443176,0.7728403806686401,0.14260800555348396,0.4540615379810333,0.24309051036834717,0.14260800555348396,0.11745439376682043,0.38134273886680603,0.6013810634613037,0.45538294315338135,0.17881495505571365,0.8267873227596283
31,0.13285377621650696,0.19578644633293152,0.1767001450061798,0.9992491006851196,0.112799733877182,0.7779409289360046,0.14012345299124718,0.4425649046897888,0.23922262713313103,0.14012345299124718,0.10730760265141726,0.3527328781783581,0.6004045605659485,0.45415474474430084,0.17747263610363007,0.8228324055671692
