Epoch,F1,Precision,Recall,Accuracy,Training_loss,Validation_loss
0,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7327976624170939,0.7114270031452179
1,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7594106793403625,0.6964347660541534
2,0.0,1.0,0.5333333611488342,0.5333333611488342,0.6673928499221802,0.6944582462310791
3,0.0,1.0,0.5333333611488342,0.5333333611488342,0.718587166733212,0.6975874304771423
4,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7466088003582425,0.695049911737442
5,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7180567185084025,0.6955498456954956
6,0.0,1.0,0.5333333611488342,0.5333333611488342,0.6940527757008871,0.6965151429176331
7,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7871890995237563,0.6965146660804749
8,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7011057800716824,0.6964247822761536
9,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7698239816559685,0.6966208517551422
10,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7635494470596313,0.6972379684448242
11,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7526804341210259,0.6970377266407013
12,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7549644377496507,0.6970247626304626
13,0.0,1.0,0.5333333611488342,0.5333333611488342,0.705325550503201,0.6969412565231323
14,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7458793388472663,0.6967822015285492
15,0.0,1.0,0.5333333611488342,0.5333333611488342,0.6863593127992418,0.6967490911483765
16,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7394168774286906,0.6965636312961578
17,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7524235116110908,0.6963114738464355
18,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7069644000795152,0.6962031424045563
19,0.0,1.0,0.5333333611488342,0.5333333611488342,0.71376015080346,0.6961522400379181
20,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7054577271143595,0.696010023355484
21,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7392509977022806,0.69601771235466
22,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7421551611688402,0.6958652138710022
23,0.0,1.0,0.5333333611488342,0.5333333611488342,0.761232833067576,0.6957223415374756
24,0.0,1.0,0.5333333611488342,0.5333333611488342,0.6746760672993131,0.6957855224609375
25,0.0,1.0,0.5333333611488342,0.5333333611488342,0.720325787862142,0.6957710683345795
26,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7663593358463712,0.6956687569618225
27,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7388755016856723,0.6955823600292206
28,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7486670215924581,0.6953926086425781
29,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7205865515602959,0.6951737701892853
30,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7293593684832255,0.694970428943634
31,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7582565877172682,0.6948868036270142
32,0.0,1.0,0.5333333611488342,0.5333333611488342,0.706542260117001,0.6946753561496735
33,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7500920295715332,0.694479763507843
34,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7148976259761386,0.6944095492362976
35,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7181365754869249,0.6941457688808441
36,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7531297935379876,0.6941768229007721
37,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7679244875907898,0.6940845847129822
38,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7533776892556084,0.694065272808075
39,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7352608773443434,0.6940420866012573
40,0.0,1.0,0.5333333611488342,0.5333333611488342,0.719960007402632,0.6939003765583038
41,0.0,1.0,0.5333333611488342,0.5333333611488342,0.726375056637658,0.6939132213592529
42,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7320767574840121,0.6937255263328552
43,0.0,1.0,0.5333333611488342,0.5333333611488342,0.712366693549686,0.693549782037735
44,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7344506780306498,0.6935980916023254
45,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7165068785349528,0.6936361491680145
46,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7379399405585395,0.6935999691486359
47,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7610819538434347,0.6934787034988403
48,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7064366539319357,0.6935414671897888
49,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7260861926608615,0.6935870945453644
50,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7113858064015707,0.6935935020446777
51,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7386995289060805,0.6935611963272095
52,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7041051586469015,0.6935129463672638
53,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7073751754230924,0.6935001909732819
54,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7163552575641208,0.6935492753982544
55,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7209799223475986,0.6935079097747803
56,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7089856002065871,0.6936128735542297
57,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7276310125986735,0.6936911642551422
58,0.0,1.0,0.5333333611488342,0.5333333611488342,0.704349160194397,0.6936309933662415
59,0.0,1.0,0.5333333611488342,0.5333333611488342,0.7112232976489596,0.6936823129653931
